WBAN,Date,Time,StationType,SkyCondition,ConvertSky,SC1,SC2,SC3,Year,Month,Day,Hour,RealDate,TimeCheck
24229,20120101,53,11,BKN080 BKN100,6,BKN,BKN,0,2012,1,1,1,1/1/2012,53
24229,20120101,153,11,BKN080 OVC100,8,BKN,OVC,0,2012,1,1,2,1/1/2012,153
24229,20120101,253,11,OVC075,8,OVC,0,0,2012,1,1,3,1/1/2012,253
24229,20120101,353,11,FEW075 SCT110 BKN150,6,FEW,SCT,BKN,2012,1,1,4,1/1/2012,353
24229,20120101,453,11,SCT110 BKN150,6,SCT,BKN,0,2012,1,1,5,1/1/2012,453
24229,20120101,553,11,FEW110,2,FEW,0,0,2012,1,1,6,1/1/2012,553
24229,20120101,653,11,SCT110,4,SCT,0,0,2012,1,1,7,1/1/2012,653
24229,20120101,753,11,FEW110 SCT160 OVC250,8,FEW,SCT,OVC,2012,1,1,8,1/1/2012,753
24229,20120101,853,11,FEW110 SCT160 BKN250,6,FEW,SCT,BKN,2012,1,1,9,1/1/2012,853
24229,20120101,953,11,FEW110 SCT160 BKN250,6,FEW,SCT,BKN,2012,1,1,10,1/1/2012,953
24229,20120101,1053,11,FEW110 SCT160 BKN250,6,FEW,SCT,BKN,2012,1,1,11,1/1/2012,1053
24229,20120101,1153,11,SCT160 BKN250,6,SCT,BKN,0,2012,1,1,12,1/1/2012,1153
24229,20120101,1253,11,SCT160 OVC250,8,SCT,OVC,0,2012,1,1,13,1/1/2012,1253
24229,20120101,1353,11,SCT160 BKN250,6,SCT,BKN,0,2012,1,1,14,1/1/2012,1353
24229,20120101,1453,11,SCT160 BKN250,6,SCT,BKN,0,2012,1,1,15,1/1/2012,1453
24229,20120101,1553,11,FEW160 BKN250,6,FEW,BKN,0,2012,1,1,16,1/1/2012,1553
24229,20120101,1653,11,SCT160 BKN250,6,SCT,BKN,0,2012,1,1,17,1/1/2012,1653
24229,20120101,1753,11,SCT160 BKN250,6,SCT,BKN,0,2012,1,1,18,1/1/2012,1753
24229,20120101,1853,11,FEW160 BKN250,6,FEW,BKN,0,2012,1,1,19,1/1/2012,1853
24229,20120101,1953,11,FEW160 BKN250,6,FEW,BKN,0,2012,1,1,20,1/1/2012,1953
24229,20120101,2053,11,FEW160 BKN250,6,FEW,BKN,0,2012,1,1,21,1/1/2012,2053
24229,20120101,2153,11,FEW160 BKN250,6,FEW,BKN,0,2012,1,1,22,1/1/2012,2153
24229,20120101,2253,11,FEW160 BKN250,6,FEW,BKN,0,2012,1,1,23,1/1/2012,2253
24229,20120101,2353,11,FEW150 SCT250,4,FEW,SCT,0,2012,1,1,24,1/1/2012,2353
24229,20120102,53,11,FEW150 SCT250,4,FEW,SCT,0,2012,1,2,1,1/2/2012,53
24229,20120102,153,11,FEW150 SCT250,4,FEW,SCT,0,2012,1,2,2,1/2/2012,153
24229,20120102,253,11,FEW150 OVC250,8,FEW,OVC,0,2012,1,2,3,1/2/2012,253
24229,20120102,353,11,FEW150 OVC250,8,FEW,OVC,0,2012,1,2,4,1/2/2012,353
24229,20120102,453,11,FEW150 OVC250,8,FEW,OVC,0,2012,1,2,5,1/2/2012,453
24229,20120102,553,11,FEW150 OVC250,8,FEW,OVC,0,2012,1,2,6,1/2/2012,553
24229,20120102,653,11,BKN150 OVC250,8,BKN,OVC,0,2012,1,2,7,1/2/2012,653
24229,20120102,753,11,BKN150 OVC250,8,BKN,OVC,0,2012,1,2,8,1/2/2012,753
24229,20120102,853,11,BKN150 OVC250,8,BKN,OVC,0,2012,1,2,9,1/2/2012,853
24229,20120102,953,11,SCT150 BKN250,6,SCT,BKN,0,2012,1,2,10,1/2/2012,953
24229,20120102,1053,11,FEW060 SCT150 BKN250,6,FEW,SCT,BKN,2012,1,2,11,1/2/2012,1053
24229,20120102,1153,11,BKN060 OVC100,8,BKN,OVC,0,2012,1,2,12,1/2/2012,1153
24229,20120102,1253,11,BKN060 OVC080,8,BKN,OVC,0,2012,1,2,13,1/2/2012,1253
24229,20120102,1353,11,FEW030 BKN065 OVC100,8,FEW,BKN,OVC,2012,1,2,14,1/2/2012,1353
24229,20120102,1453,11,FEW030 BKN065 OVC090,8,FEW,BKN,OVC,2012,1,2,15,1/2/2012,1453
24229,20120102,1553,11,FEW019 BKN048 BKN060,6,FEW,BKN,BKN,2012,1,2,16,1/2/2012,1553
24229,20120102,1653,11,SCT019 BKN031 OVC070,8,SCT,BKN,OVC,2012,1,2,17,1/2/2012,1653
24229,20120102,1753,11,FEW016 SCT032 OVC065,8,FEW,SCT,OVC,2012,1,2,18,1/2/2012,1753
24229,20120102,1853,11,SCT016 BKN065,6,SCT,BKN,0,2012,1,2,19,1/2/2012,1853
24229,20120102,1953,11,FEW015 BKN050 OVC070,8,FEW,BKN,OVC,2012,1,2,20,1/2/2012,1953
24229,20120102,2053,11,FEW020 SCT050,4,FEW,SCT,0,2012,1,2,21,1/2/2012,2053
24229,20120102,2153,11,FEW015 SCT050,4,FEW,SCT,0,2012,1,2,22,1/2/2012,2153
24229,20120102,2253,11,BKN032 OVC044,8,BKN,OVC,0,2012,1,2,23,1/2/2012,2253
24229,20120102,2353,11,OVC030,8,OVC,0,0,2012,1,2,24,1/2/2012,2353
24229,20120103,53,11,FEW035 BKN055 BKN070,6,FEW,BKN,BKN,2012,1,3,1,1/3/2012,53
24229,20120103,153,11,FEW013 SCT034 OVC065,8,FEW,SCT,OVC,2012,1,3,2,1/3/2012,153
24229,20120103,253,11,SCT038 BKN060,6,SCT,BKN,0,2012,1,3,3,1/3/2012,253
24229,20120103,353,11,OVC032,8,OVC,0,0,2012,1,3,4,1/3/2012,353
24229,20120103,453,11,BKN022,6,BKN,0,0,2012,1,3,5,1/3/2012,453
24229,20120103,553,11,FEW029 OVC035,8,FEW,OVC,0,2012,1,3,6,1/3/2012,553
24229,20120103,653,11,SCT030 BKN048 BKN250,6,SCT,BKN,BKN,2012,1,3,7,1/3/2012,653
24229,20120103,753,11,SCT048 BKN250,6,SCT,BKN,0,2012,1,3,8,1/3/2012,753
24229,20120103,853,11,FEW060 SCT150 BKN250,6,FEW,SCT,BKN,2012,1,3,9,1/3/2012,853
24229,20120103,953,11,FEW060 SCT150 BKN250,6,FEW,SCT,BKN,2012,1,3,10,1/3/2012,953
24229,20120103,1053,11,BKN200 OVC250,8,BKN,OVC,0,2012,1,3,11,1/3/2012,1053
24229,20120103,1153,11,BKN200,6,BKN,0,0,2012,1,3,12,1/3/2012,1153
24229,20120103,1253,11,FEW100 BKN200,6,FEW,BKN,0,2012,1,3,13,1/3/2012,1253
24229,20120103,1353,11,BKN150,6,BKN,0,0,2012,1,3,14,1/3/2012,1353
24229,20120103,1453,11,BKN120 BKN250,6,BKN,BKN,0,2012,1,3,15,1/3/2012,1453
24229,20120103,1553,11,BKN120 BKN250,6,BKN,BKN,0,2012,1,3,16,1/3/2012,1553
24229,20120103,1653,11,BKN120 BKN250,6,BKN,BKN,0,2012,1,3,17,1/3/2012,1653
24229,20120103,1753,11,SCT120 BKN250,6,SCT,BKN,0,2012,1,3,18,1/3/2012,1753
24229,20120103,1853,11,FEW120 BKN250,6,FEW,BKN,0,2012,1,3,19,1/3/2012,1853
24229,20120103,1953,11,SCT120 BKN250,6,SCT,BKN,0,2012,1,3,20,1/3/2012,1953
24229,20120103,2053,11,SCT085 BKN120 BKN250,6,SCT,BKN,BKN,2012,1,3,21,1/3/2012,2053
