WBAN	Date	Time	StationType	SkyCondition	ConvertSky	SC1	SC2	SC3	SkyConditionFlag	Visibility	WeatherType	DryBulbFarenheit	DryBulbCelsius	RelativeHumidity	WindSpeed	WindSpeedFlag	HourlyPrecip	HourlyPrecipFlag	RealDate	TimeCheck
24229	20120101	53	11	BKN080 BKN100	6	BKN	BKN	0	 	10	 	40	4.4	86	0	 	 	 	1/1/12	53
24229	20120101	153	11	BKN080 OVC100	8	BKN	OVC	0	 	9	 	40	4.4	82	5	 	 	 	1/1/12	153
24229	20120101	253	11	OVC075	8	OVC	0	0	 	10	 	40	4.4	82	3	 	 	 	1/1/12	253
24229	20120101	353	11	FEW075 SCT110 BKN150	6	FEW	SCT	BKN	 	9	 	38	3.3	89	0	 	 	 	1/1/12	353
24229	20120101	453	11	SCT110 BKN150	6	SCT	BKN	0	 	10	 	37	2.8	93	0	 	 	 	1/1/12	453
24229	20120101	553	11	FEW110	2	FEW	0	0	 	10	 	37	2.8	89	3	 	 	 	1/1/12	553
24229	20120101	653	11	SCT110	4	SCT	0	0	 	10	 	39	3.9	86	3	 	 	 	1/1/12	653
24229	20120101	753	11	FEW110 SCT160 OVC250	8	FEW	SCT	OVC	 	10	 	37	2.8	89	0	 	 	 	1/1/12	753
24229	20120101	853	11	FEW110 SCT160 BKN250	6	FEW	SCT	BKN	 	10	 	37	2.8	86	6	 	 	 	1/1/12	853
24229	20120101	953	11	FEW110 SCT160 BKN250	6	FEW	SCT	BKN	 	10	 	47	8.3	54	17	 	 	 	1/1/12	953
24229	20120101	1053	11	FEW110 SCT160 BKN250	6	FEW	SCT	BKN	 	10	 	49	9.4	50	21	 	 	 	1/1/12	1053
24229	20120101	1153	11	SCT160 BKN250	6	SCT	BKN	0	 	10	 	50	10	44	23	 	 	 	1/1/12	1153
24229	20120101	1253	11	SCT160 OVC250	8	SCT	OVC	0	 	10	 	51	10.6	43	21	 	 	 	1/1/12	1253
24229	20120101	1353	11	SCT160 BKN250	6	SCT	BKN	0	 	10	 	50	10	44	21	 	 	 	1/1/12	1353
24229	20120101	1453	11	SCT160 BKN250	6	SCT	BKN	0	 	10	 	51	10.6	43	22	 	 	 	1/1/12	1453
24229	20120101	1553	11	FEW160 BKN250	6	FEW	BKN	0	 	10	 	50	10	43	23	 	 	 	1/1/12	1553
