Month/Year: 06/2013
Station Location: PORTLAND INTERNATIONAL AIRPORT (24229)
Lat: 45.595
Lon: -122.609
Elev: 19 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20130601,0053,11,CLR, ,10.00, , , ,54, ,12.2, ,51, ,10.7, ,49, ,9.4, , 83, , 0, ,000, , , ,30.13, , , , , ,30.24, ,AA, , , ,30.25, 
24229,20130601,0153,11,FEW200, ,10.00, , , ,51, ,10.6, ,49, ,9.7, ,48, ,8.9, , 90, , 5, ,110, , , ,30.13, , , , , ,30.24, ,AA, , , ,30.25, 
24229,20130601,0253,11,SCT110 BKN250, ,10.00, , , ,50, ,10.0, ,49, ,9.4, ,48, ,8.9, , 93, , 6, ,100, , , ,30.12, , , , , ,30.24, ,AA, , , ,30.24, 
24229,20130601,0353,11,SCT110 BKN250, ,10.00, , , ,50, ,10.0, ,49, ,9.1, ,47, ,8.3, , 90, , 3, ,140, , , ,30.11, , , , , ,30.23, ,AA, , , ,30.23, 
24229,20130601,0453,11,SCT120 BKN250, ,10.00, , , ,50, ,10.0, ,49, ,9.1, ,47, ,8.3, , 90, , 0, ,000, , , ,30.11, , , , , ,30.22, ,AA, , , ,30.23, 
24229,20130601,0553,11,BKN075 BKN120, ,10.00, , , ,52, ,11.1, ,50, ,9.9, ,48, ,8.9, , 86, , 0, ,000, , , ,30.11, , , , , ,30.23, ,AA, , , ,30.23, 
24229,20130601,0653,11,BKN070 BKN120 BKN260, ,10.00, ,-RA, ,54, ,12.2, ,51, ,10.7, ,49, ,9.4, , 83, , 0, ,000, , , ,30.11, , , , , ,30.22, ,AA, ,  T, ,30.23, 
24229,20130601,0753,11,BKN085 BKN120 OVC260, ,10.00, , , ,55, ,12.8, ,52, ,11.0, ,49, ,9.4, , 80, , 0, ,000, , , ,30.10, , , , , ,30.22, ,AA, ,  T, ,30.22, 
24229,20130601,0853,11,OVC080, ,10.00, , , ,58, ,14.4, ,53, ,11.5, ,48, ,8.9, , 70, , 0, ,000, , , ,30.09, , , , , ,30.21, ,AA, , , ,30.21, 
24229,20130601,0953,11,FEW095 BKN110, ,10.00, , , ,62, ,16.7, ,55, ,12.7, ,49, ,9.4, , 63, , 5, ,360, , , ,30.08, , , , , ,30.19, ,AA, ,  T, ,30.20, 
24229,20130601,1053,11,FEW045 SCT100 BKN260, ,10.00, , , ,64, ,17.8, ,56, ,13.2, ,49, ,9.4, , 58, , 3, ,030, , , ,30.05, , , , , ,30.17, ,AA, , , ,30.17, 
24229,20130601,1153,11,FEW050 SCT100 BKN260, ,10.00, , , ,68, ,20.0, ,55, ,12.9, ,44, ,6.7, , 42, , 3, ,360, , , ,30.03, , , , , ,30.15, ,AA, , , ,30.15, 
24229,20130601,1253,11,FEW050 SCT100 SCT260, ,10.00, , , ,69, ,20.6, ,57, ,13.9, ,47, ,8.3, , 46, , 3, ,VR , , , ,30.01, , , , , ,30.13, ,AA, , , ,30.13, 
24229,20130601,1353,11,FEW050 SCT100 SCT260, ,10.00, , , ,71, ,21.7, ,59, ,14.8, ,49, ,9.4, , 46, , 0, ,000, , , ,29.99, , , , , ,30.11, ,AA, , , ,30.11, 
24229,20130601,1453,11,FEW055 BKN075, ,10.00, , , ,73, ,22.8, ,60, ,15.5, ,50, ,10.0, , 44, , 6, ,310, , , ,29.98, , , , , ,30.09, ,AA, , , ,30.10, 
