Hourly Obs

Month/Year: 07/2012
Station Location: PORTLAND INTERNATIONAL AIRPORT (24229)
Lat: 45.595
Lon: -122.609
Elev: 19 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20120701,0053,11,OVC024, ,10.00, , , ,60, ,15.6, ,58, ,14.2, ,56, ,13.3, , 87, , 5, ,320, , , ,29.87, ,3, ,004, ,29.99, ,AA, ,  T, ,29.99, 
24229,20120701,0153,11,FEW010 OVC026, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, , 7, ,320, , , ,29.88, , , , , ,29.99, ,AA, ,0.01, ,30.00, 
24229,20120701,0253,11,BKN025 OVC030, , 8.00, ,-RA, ,58, ,14.4, ,56, ,13.2, ,54, ,12.2, , 87, , 3, ,340, , , ,29.88, , , , , ,29.99, ,AA, ,  T, ,30.00, 
24229,20120701,0353,11,OVC027, ,10.00, , , ,58, ,14.4, ,56, ,13.2, ,54, ,12.2, , 87, , 6, ,320, , , ,29.89, ,3, ,005, ,30.00, ,AA, ,  T, ,30.01, 
24229,20120701,0446,11,OVC031, , 6.00, ,-RA BR, ,57, ,14.0, ,55, ,12.9, ,54, ,12.0, , 90, , 7, ,320, , , ,29.90, , , , , ,M, ,SP, , , ,30.02, 
24229,20120701,0453,11,OVC031, , 5.00, ,-RA BR, ,57, ,13.9, ,55, ,12.6, ,53, ,11.7, , 87, , 8, ,310, , , ,29.91, , , , , ,30.02, ,AA, ,0.01, ,30.03, 
24229,20120701,0553,11,FEW020 OVC031, ,10.00, , , ,59, ,15.0, ,56, ,13.1, ,53, ,11.7, , 81, , 8, ,300, , , ,29.92, , , , , ,30.03, ,AA, ,  T, ,30.04, 
24229,20120701,0625,11,BKN026 BKN034 OVC042, ,10.00, , , ,59, ,15.0, ,56, ,13.4, ,54, ,12.0, , 84, , 6, ,VR , , , ,29.92, , , , , ,M, ,SP, , , ,30.04, 
24229,20120701,0653,11,BKN026 BKN034 OVC042, ,10.00, , , ,60, ,15.6, ,56, ,13.4, ,53, ,11.7, , 78, , 5, ,320, , , ,29.93, ,1, ,014, ,30.04, ,AA, , , ,30.05, 
24229,20120701,0751,11,FEW024 OVC033, ,10.00, , , ,61, ,16.0, ,56, ,13.3, ,52, ,11.0, , 72, , 7, ,320, , , ,29.94, , , , , ,M, ,SP, , , ,30.06, 
24229,20120701,0753,11,FEW024 OVC033, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 7, ,320, , , ,29.94, , , , , ,30.05, ,AA, , , ,30.06, 
24229,20120701,0853,11,SCT024 BKN035 OVC045, ,10.00, , , ,63, ,17.2, ,57, ,14.1, ,53, ,11.7, , 70, , 6, ,300, , , ,29.94, , , , , ,30.06, ,AA, , , ,30.06, 
24229,20120701,0925,11,BKN028 OVC035, ,10.00, , , ,63, ,17.0, ,57, ,13.8, ,52, ,11.0, , 68, , 7, ,VR , , , ,29.94, , , , , ,M, ,SP, , , ,30.06, 
24229,20120701,0953,11,BKN028 OVC035, ,10.00, , , ,63, ,17.2, ,56, ,13.5, ,51, ,10.6, , 65, , 8, ,310, , , ,29.95, ,1, ,007, ,30.06, ,AA, , , ,30.07, 
