csv_date,hour,sky_condition,temp,precipitation
01/01/2013,00,2,27, 
01/01/2013,01,4,27, 
01/01/2013,02,2,28, 
01/01/2013,03,0,27, 
01/01/2013,04,0,29, 
01/01/2013,05,0,29, 
01/01/2013,06,2,27, 
01/01/2013,07,3,25, 
01/01/2013,08,3,28, 
01/01/2013,09,3,29, 
01/01/2013,10,1,30, 
01/01/2013,11,2,33, 
01/01/2013,12,2,39, 
01/01/2013,13,1,39, 
01/01/2013,14,1,40, 
01/01/2013,15,3,36, 
01/01/2013,16,2,36, 
01/01/2013,17,2,35, 
01/01/2013,18,0,35, 
01/01/2013,19,0,35, 
01/01/2013,20,0,34, 
01/01/2013,21,0,35, 
01/01/2013,22,2,34, 
01/01/2013,23,2,34, 
01/02/2013,00,2,35, 
01/02/2013,01,0,35, 
01/02/2013,02,0,35, 
01/02/2013,03,0,32, 
01/02/2013,04,0,34, 
01/02/2013,05,0,35, 
01/02/2013,06,2,35, 
01/02/2013,07,2,33, 
01/02/2013,08,2,36, 
01/02/2013,09,2,38, 
01/02/2013,10,2,40, 
01/02/2013,11,2,41, 
01/02/2013,12,2,41, 
01/02/2013,13,1,41, 
01/02/2013,14,2,39, 
01/02/2013,15,2,37, 
01/02/2013,16,2,35, 
01/02/2013,17,2,35, 
01/02/2013,18,2,35, 
01/02/2013,19,2,35, 
01/02/2013,20,0,35, 
01/02/2013,21,0,35, 
01/02/2013,22,0,35, 
01/02/2013,23,2,35, 
01/03/2013,00,0,35, 
01/03/2013,01,0,34, 
01/03/2013,02,0,35, 
01/03/2013,03,0,33, 
01/03/2013,04,0,34, 
01/03/2013,05,0,34, 
01/03/2013,06,0,34, 
01/03/2013,07,0,34, 
01/03/2013,08,0,35, 
01/03/2013,09,0,36, 
01/03/2013,10,2,38, 
01/03/2013,11,1,40, 
01/03/2013,12,3,39, 
01/03/2013,13,4,38, 
01/03/2013,14,3,39, 
01/03/2013,15,3,38, 
01/03/2013,16,4,37,  T
01/03/2013,17,4,37,  T
01/03/2013,18,4,36, 
01/03/2013,19,4,35,  T
01/03/2013,20,4,34,  T
01/03/2013,21,4,33,  T
01/03/2013,22,4,33,  T
01/03/2013,23,4,34,  T
01/04/2013,00,4,34,  T
01/04/2013,01,4,34,  T
01/04/2013,02,4,34,  T
01/04/2013,03,4,34,0.02
01/04/2013,04,4,34,  T
01/04/2013,05,4,34,  T
01/04/2013,06,4,34,  T
01/04/2013,07,4,34,  T
01/04/2013,08,4,35, 
01/04/2013,09,4,36, 
01/04/2013,10,4,37, 
01/04/2013,11,3,39, 
01/04/2013,12,3,38, 
01/04/2013,13,3,40, 
01/04/2013,14,3,42, 
01/04/2013,15,3,40, 
01/04/2013,16,1,37, 
01/04/2013,17,2,36, 
01/04/2013,18,2,36, 
01/04/2013,19,3,36, 
01/04/2013,20,3,36, 
01/04/2013,21,1,35, 
01/04/2013,22,3,35, 
01/04/2013,23,4,36, 
01/05/2013,00,4,36, 
01/05/2013,01,4,36, 
01/05/2013,02,4,36, 
01/05/2013,03,3,36, 
01/05/2013,04,4,36, 
01/05/2013,05,4,36, 
01/05/2013,06,4,36, 
01/05/2013,07,4,36,  T
01/05/2013,08,4,37,  T
01/05/2013,09,4,37,  T
01/05/2013,10,4,36,  T
01/05/2013,11,4,37,  T
01/05/2013,12,4,37, 
01/05/2013,13,4,37, 
01/05/2013,14,4,37, 
01/05/2013,15,4,37, 
01/05/2013,16,4,36, 
01/05/2013,17,4,36, 
01/05/2013,18,4,35, 
01/05/2013,19,4,35, 
01/05/2013,20,4,36, 
01/05/2013,21,4,36,  T
01/05/2013,22,4,36,0.01
01/05/2013,23,4,35,0.01
01/06/2013,00,4,36,  T
01/06/2013,01,4,35,0.01
01/06/2013,02,4,35,  T
01/06/2013,03,4,35,  T
01/06/2013,04,4,35,  T
01/06/2013,05,4,35,  T
01/06/2013,06,4,35,  T
01/06/2013,07,4,36,  T
01/06/2013,08,4,36, 
01/06/2013,09,4,36, 
01/06/2013,10,4,37,  T
01/06/2013,11,4,38,  T
01/06/2013,12,4,38,  T
01/06/2013,13,4,39,  T
01/06/2013,14,4,39, 
01/06/2013,15,4,39, 
01/06/2013,16,4,39, 
01/06/2013,17,4,38, 
01/06/2013,18,4,38, 
01/06/2013,19,4,38,0.01
01/06/2013,20,4,38,0.04
01/06/2013,21,4,40,0.05
01/06/2013,22,4,39,0.04
01/06/2013,23,4,39,0.04
01/07/2013,00,4,39,0.04
01/07/2013,01,4,41,0.01
01/07/2013,02,4,41,  T
01/07/2013,03,4,44,  T
01/07/2013,04,4,47,  T
01/07/2013,05,4,48,  T
01/07/2013,06,4,48,0.02
01/07/2013,07,4,48,  T
01/07/2013,08,4,49, 
01/07/2013,09,4,50, 
01/07/2013,10,4,50,  T
01/07/2013,11,4,50,  T
01/07/2013,12,4,51,  T
01/07/2013,13,4,52, 
01/07/2013,14,4,53, 
01/07/2013,15,4,53, 
01/07/2013,16,3,52, 
01/07/2013,17,4,51, 
01/07/2013,18,4,50, 
01/07/2013,19,4,49, 
01/07/2013,20,4,48, 
01/07/2013,21,4,47, 
01/07/2013,22,4,47, 
01/07/2013,23,4,47, 
01/08/2013,00,4,45, 
01/08/2013,01,4,47, 
01/08/2013,02,4,47, 
01/08/2013,03,4,45,  T
01/08/2013,04,4,45,0.03
01/08/2013,05,4,45,0.03
01/08/2013,06,4,46,0.03
01/08/2013,07,4,50,0.02
01/08/2013,08,4,50,0.03
01/08/2013,09,4,51,  T
01/08/2013,10,4,52,  T
01/08/2013,11,4,53,  T
01/08/2013,12,4,53,  T
01/08/2013,13,4,54, 
01/08/2013,14,3,55, 
01/08/2013,15,4,55, 
01/08/2013,16,4,55, 
01/08/2013,17,4,54, 
01/08/2013,18,4,54, 
01/08/2013,19,4,54, 
01/08/2013,20,4,54, 
01/08/2013,21,4,53, 
01/08/2013,22,4,53, 
01/08/2013,23,3,52, 
01/09/2013,00,4,51, 
01/09/2013,01,4,52, 
01/09/2013,02,4,51, 
01/09/2013,03,4,50, 
01/09/2013,04,4,51, 
01/09/2013,05,4,51, 
01/09/2013,06,4,50,0.01
01/09/2013,07,4,43,0.02
01/09/2013,08,4,42,0.05
01/09/2013,09,4,42,0.06
01/09/2013,10,4,43,0.01
01/09/2013,11,4,43,0.03
01/09/2013,12,4,43,0.02
01/09/2013,13,4,43,  T
01/09/2013,14,4,43,  T
01/09/2013,15,3,43,0.01
01/09/2013,16,1,41, 
01/09/2013,17,1,40, 
01/09/2013,18,3,40,  T
01/09/2013,19,1,39, 
01/09/2013,20,1,38, 
01/09/2013,21,3,37, 
01/09/2013,22,4,37, 
01/09/2013,23,3,36,0.01
01/10/2013,00,3,36, 
01/10/2013,01,3,35,  T
01/10/2013,02,4,36, 
01/10/2013,03,4,36, 
01/10/2013,04,4,36, 
01/10/2013,05,4,37, 
01/10/2013,06,4,37,0.01
01/10/2013,07,4,36,0.05
01/10/2013,08,4,35,0.02
01/10/2013,09,4,36,  T
01/10/2013,10,4,38,  T
01/10/2013,11,4,38, 
01/10/2013,12,4,38, 
01/10/2013,13,4,39, 
01/10/2013,14,4,39, 
01/10/2013,15,4,39, 
01/10/2013,16,4,39, 
01/10/2013,17,3,37,  T
01/10/2013,18,3,37, 
01/10/2013,19,4,38,0.01
01/10/2013,20,1,35,0.06
01/10/2013,21,3,35, 
01/10/2013,22,3,35,0.01
01/10/2013,23,3,35, 
01/11/2013,00,3,34, 
01/11/2013,01,3,33, 
01/11/2013,02,1,34, 
01/11/2013,03,4,35, 
01/11/2013,04,3,32, 
01/11/2013,05,3,32, 
01/11/2013,06,4,32, 
01/11/2013,07,4,31, 
01/11/2013,08,4,32, 
01/11/2013,09,4,34, 
01/11/2013,10,3,34, 
01/11/2013,11,1,37, 
01/11/2013,12,2,38, 
01/11/2013,13,2,39, 
01/11/2013,14,1,39, 
01/11/2013,15,1,39, 
01/11/2013,16,1,37, 
01/11/2013,17,2,35, 
01/11/2013,18,2,31, 
01/11/2013,19,1,30, 
01/11/2013,20,3,31, 
01/11/2013,21,3,30, 
01/11/2013,22,4,29, 
01/11/2013,23,4,30, 
01/12/2013,00,1,29, 
01/12/2013,01,3,28, 
01/12/2013,02,4,28, 
01/12/2013,03,4,28, 
01/12/2013,04,4,27, 
01/12/2013,05,4,30, 
01/12/2013,06,4,30, 
01/12/2013,07,4,30, 
01/12/2013,08,4,30, 
01/12/2013,09,4,31, 
01/12/2013,10,3,32, 
01/12/2013,11,4,33, 
01/12/2013,12,3,33, 
01/12/2013,13,1,33, 
01/12/2013,14,1,33, 
01/12/2013,15,1,32, 
01/12/2013,16,1,31, 
01/12/2013,17,1,30, 
01/12/2013,18,2,29, 
01/12/2013,19,2,28, 
01/12/2013,20,2,27, 
01/12/2013,21,4,30, 
01/12/2013,22,3,29, 
01/12/2013,23,4,29, 
01/13/2013,00,4,30, 
01/13/2013,01,4,30, 
01/13/2013,02,4,30, 
01/13/2013,03,4,30, 
01/13/2013,04,4,28, 
01/13/2013,05,4,28, 
01/13/2013,06,4,28,  T
01/13/2013,07,3,28,  T
01/13/2013,08,3,29, 
01/13/2013,09,3,29, 
01/13/2013,10,3,31, 
01/13/2013,11,3,32, 
01/13/2013,12,1,34, 
01/13/2013,13,1,33, 
01/13/2013,14,3,33, 
01/13/2013,15,3,32, 
01/13/2013,16,3,31, 
01/13/2013,17,1,30, 
01/13/2013,18,3,30, 
