Hourly Obs

Month/Year: 04/2012
Station Location: PORTLAND INTERNATIONAL AIRPORT (24229)
Lat: 45.595
Lon: -122.609
Elev: 19 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20120401,0053,11,BKN060 OVC080, ,10.00, , , ,44, ,6.7, ,40, ,4.7, ,36, ,2.2, , 74, , 8, ,260, , , ,29.66, ,3, ,080, ,29.78, ,AA, , , ,29.78, 
24229,20120401,0153,11,FEW048 BKN065, ,10.00, , , ,43, ,6.1, ,40, ,4.4, ,36, ,2.2, , 76, ,11, ,220, , , ,29.73, , , , , ,29.85, ,AA, , , ,29.85, 
24229,20120401,0253,11,BKN055 BKN070, ,10.00, , , ,43, ,6.1, ,40, ,4.4, ,36, ,2.2, , 76, ,13, ,190, , , ,29.78, , , , , ,29.90, ,AA, , , ,29.90, 
24229,20120401,0353,11,BKN050 BKN100, ,10.00, , , ,42, ,5.6, ,39, ,3.8, ,35, ,1.7, , 76, , 7, ,200, , , ,29.83, ,1, ,056, ,29.94, ,AA, , , ,29.95, 
24229,20120401,0453,11,SCT038 OVC065, ,10.00, , , ,42, ,5.6, ,39, ,3.8, ,35, ,1.7, , 76, , 8, ,230, , , ,29.86, , , , , ,29.98, ,AA, , , ,29.98, 
24229,20120401,0553,11,FEW023 BKN045 BKN055, ,10.00, ,-RA, ,42, ,5.6, ,39, ,3.8, ,35, ,1.7, , 76, ,13, ,200, , , ,29.88, , , , , ,29.99, ,AA, ,  T, ,30.00, 
24229,20120401,0653,11,FEW024 SCT044 SCT150, ,10.00, , , ,42, ,5.6, ,39, ,3.8, ,35, ,1.7, , 76, ,14, ,210, , , ,29.88, ,1, ,019, ,30.00, ,AA, ,  T, ,30.00, 
24229,20120401,0753,11,FEW025 SCT045 SCT100, ,10.00, , , ,43, ,6.1, ,40, ,4.6, ,37, ,2.8, , 79, ,14, ,210, ,25, ,29.89, , , , , ,30.00, ,AA, , , ,30.01, 
24229,20120401,0853,11,FEW015 SCT045 BKN140, ,10.00, , , ,45, ,7.2, ,41, ,5.2, ,37, ,2.8, , 74, ,17, ,200, , , ,29.91, , , , , ,30.02, ,AA, , , ,30.03, 
24229,20120401,0951,11,BKN025 OVC034, ,10.00, , , ,46, ,8.0, ,42, ,5.5, ,37, ,3.0, , 71, ,14, ,190, ,20, ,29.92, , , , , ,M, ,SP, , , ,30.04, 
24229,20120401,0953,11,FEW015 BKN027 OVC036, ,10.00, , , ,46, ,7.8, ,42, ,5.5, ,37, ,2.8, , 71, ,14, ,190, ,20, ,29.92, ,3, ,013, ,30.03, ,AA, , , ,30.04, 
24229,20120401,1051,11,SCT025 BKN042 OVC049, ,10.00, ,-RA, ,46, ,8.0, ,42, ,5.5, ,37, ,3.0, , 71, ,17, ,190, ,22, ,29.93, , , , , ,M, ,SP, , , ,30.05, 
24229,20120401,1053,11,SCT022 SCT032 OVC042, ,10.00, ,-RA, ,45, ,7.2, ,42, ,5.7, ,39, ,3.9, , 80, ,15, ,190, ,22, ,29.93, , , , , ,30.04, ,AA, ,0.01, ,30.05, 
24229,20120401,1150,11,FEW017 BKN024 OVC033, , 7.00, ,-RA, ,45, ,7.0, ,42, ,5.7, ,39, ,4.0, , 80, ,13, ,180, ,18, ,29.93, , , , , ,M, ,SP, , , ,30.05, 
24229,20120401,1153,11,SCT018 BKN024 OVC036, , 8.00, ,-RA, ,44, ,6.7, ,42, ,5.4, ,39, ,3.9, , 83, ,14, ,180, ,18, ,29.93, , , , , ,30.05, ,AA, ,0.03, ,30.05, 
24229,20120401,1251,11,SCT023 BKN032 BKN040, ,10.00, ,-RA, ,45, ,7.0, ,42, ,5.7, ,39, ,4.0, , 80, ,17, ,190, ,25, ,29.93, , , , , ,M, ,SP, , , ,30.05, 
24229,20120401,1253,11,BKN023 BKN032 BKN040, ,10.00, ,-RA, ,45, ,7.2, ,43, ,5.9, ,40, ,4.4, , 83, ,17, ,210, ,25, ,29.93, ,8, ,001, ,30.04, ,AA, ,0.01, ,30.05, 
24229,20120401,1353,11,BKN020 BKN030 BKN070, ,10.00, , , ,47, ,8.3, ,44, ,6.5, ,40, ,4.4, , 77, ,17, ,200, ,26, ,29.93, , , , , ,30.04, ,AA, ,  T, ,30.05, 
24229,20120401,1453,11,BKN024 OVC034, ,10.00, , , ,47, ,8.3, ,43, ,6.2, ,39, ,3.9, , 74, ,20, ,190, ,24, ,29.95, , , , , ,30.07, ,AA, ,  T, ,30.07, 
24229,20120401,1551,11,SCT026 BKN036, ,10.00, , , ,50, ,10.0, ,46, ,7.6, ,41, ,5.0, , 71, ,18, ,230, ,29, ,29.97, , , , , ,M, ,SP, , , ,30.09, 
24229,20120401,1553,11,SCT026 BKN036, ,10.00, , , ,50, ,10.0, ,45, ,7.3, ,40, ,4.4, , 69, ,22, ,230, ,29, ,29.98, ,3, ,018, ,30.09, ,AA, ,  T, ,30.10, 
24229,20120401,1653,11,SCT034 SCT060, ,10.00, , , ,50, ,10.0, ,44, ,6.4, ,36, ,2.2, , 59, ,13, ,250, , , ,30.03, , , , , ,30.14, ,AA, , , ,30.15, 
24229,20120401,1753,11,SCT040 BKN049 BKN095, ,10.00, , , ,49, ,9.4, ,43, ,5.9, ,35, ,1.7, , 59, ,11, ,220, , , ,30.05, , , , , ,30.17, ,AA, , , ,30.17, 
24229,20120401,1853,11,FEW042 SCT049 BKN060, ,10.00, , , ,47, ,8.3, ,43, ,5.8, ,37, ,2.8, , 68, , 8, ,220, , , ,30.08, ,1, ,035, ,30.20, ,AA, , , ,30.20, 
24229,20120401,1953,11,FEW027 BKN038 OVC050, ,10.00, ,-RA, ,46, ,7.8, ,42, ,5.5, ,37, ,2.8, , 71, ,10, ,230, , , ,30.10, , , , , ,30.22, ,AA, ,  T, ,30.22, 
24229,20120401,2053,11,FEW030 SCT055 BKN085, ,10.00, , , ,44, ,6.7, ,41, ,4.9, ,37, ,2.8, , 77, , 6, ,150, , , ,30.12, , , , , ,30.24, ,AA, , , ,30.24, 
24229,20120401,2153,11,SCT042 SCT085 BKN150, ,10.00, , , ,44, ,6.7, ,41, ,5.1, ,38, ,3.3, , 80, , 8, ,170, , , ,30.13, ,1, ,016, ,30.25, ,AA, , , ,30.25, 
24229,20120401,2253,11,FEW042 SCT150, ,10.00, , , ,43, ,6.1, ,41, ,4.8, ,38, ,3.3, , 83, , 5, ,200, , , ,30.15, , , , , ,30.27, ,AA, , , ,30.27, 
24229,20120401,2353,11,FEW020 OVC050, ,10.00, , , ,43, ,6.1, ,41, ,5.1, ,39, ,3.9, , 86, , 5, ,120, , , ,30.16, , , , , ,30.28, ,AA, , , ,30.28, 
24229,20120402,0053,11,SCT044 BKN050, ,10.00, , , ,43, ,6.1, ,41, ,5.1, ,39, ,3.9, , 86, , 6, ,100, , , ,30.18, ,1, ,017, ,30.29, ,AA, , , ,30.30, 
24229,20120402,0153,11,BKN044 OVC050, ,10.00, , , ,43, ,6.1, ,41, ,5.1, ,39, ,3.9, , 86, , 8, ,110, , , ,30.17, , , , , ,30.29, ,AA, , , ,30.29, 
24229,20120402,0253,11,BKN044 OVC050, ,10.00, , , ,43, ,6.1, ,41, ,5.1, ,39, ,3.9, , 86, , 8, ,100, , , ,30.16, , , , , ,30.28, ,AA, , , ,30.28, 
24229,20120402,0353,11,SCT050 OVC150, ,10.00, , , ,42, ,5.6, ,40, ,4.5, ,38, ,3.3, , 86, , 7, ,110, , , ,30.16, ,6, ,007, ,30.27, ,AA, , , ,30.28, 
24229,20120402,0453,11,FEW150 BKN200, ,10.00, , , ,41, ,5.0, ,40, ,4.2, ,38, ,3.3, , 89, , 8, ,110, , , ,30.16, , , , , ,30.28, ,AA, , , ,30.28, 
24229,20120402,0553,11,BKN250, ,10.00, , , ,41, ,5.0, ,40, ,4.2, ,38, ,3.3, , 89, , 8, ,120, , , ,30.16, , , , , ,30.28, ,AA, , , ,30.28, 
24229,20120402,0653,11,BKN250, ,10.00, , , ,41, ,5.0, ,39, ,4.0, ,37, ,2.8, , 86, , 6, ,150, , , ,30.16, ,3, ,001, ,30.28, ,AA, , , ,30.28, 
24229,20120402,0753,11,SCT150 BKN250, ,10.00, , , ,44, ,6.7, ,41, ,5.1, ,38, ,3.3, , 80, ,11, ,120, , , ,30.16, , , , , ,30.27, ,AA, , , ,30.28, 
24229,20120402,0853,11,FEW150 BKN250, ,10.00, , , ,47, ,8.3, ,43, ,6.3, ,39, ,3.9, , 74, ,18, ,120, , , ,30.15, , , , , ,30.27, ,AA, , , ,30.27, 
24229,20120402,0953,11,FEW150 BKN250, ,10.00, , , ,49, ,9.4, ,44, ,6.6, ,38, ,3.3, , 66, ,16, ,110, , , ,30.13, ,8, ,010, ,30.25, ,AA, , , ,30.25, 
24229,20120402,1053,11,BKN200, ,10.00, , , ,53, ,11.7, ,47, ,8.2, ,40, ,4.4, , 62, ,14, ,110, , , ,30.10, , , , , ,30.22, ,AA, , , ,30.22, 
24229,20120402,1153,11,FEW200, ,10.00, , , ,56, ,13.3, ,48, ,9.0, ,40, ,4.4, , 55, ,14, ,110, , , ,30.06, , , , , ,30.18, ,AA, , , ,30.18, 
24229,20120402,1253,11,FEW200, ,10.00, , , ,57, ,13.9, ,49, ,9.3, ,40, ,4.4, , 53, ,10, ,120, , , ,30.03, ,6, ,035, ,30.15, ,AA, , , ,30.15, 
24229,20120402,1353,11,SCT200, ,10.00, , , ,59, ,15.0, ,50, ,9.8, ,40, ,4.4, , 50, ,11, ,120, , , ,29.99, , , , , ,30.11, ,AA, , , ,30.11, 
24229,20120402,1453,11,BKN200, ,10.00, , , ,59, ,15.0, ,49, ,9.5, ,39, ,3.9, , 48, ,15, ,120, , , ,29.96, , , , , ,30.07, ,AA, , , ,30.08, 
