Month/Year: 04/2013
Station Location: PORTLAND INTERNATIONAL AIRPORT (24229)
Lat: 45.595
Lon: -122.609
Elev: 19 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20130401,0053,11,BKN050, ,10.00, , , ,54, ,12.2, ,51, ,10.5, ,48, ,8.9, , 80, , 6, ,270, , , ,29.90, , , , , ,30.02, ,AA, , , ,30.02, 
24229,20130401,0153,11,OVC050, ,10.00, , , ,54, ,12.2, ,50, ,10.2, ,47, ,8.3, , 77, , 5, ,270, , , ,29.91, , , , , ,30.02, ,AA, , , ,30.03, 
24229,20130401,0253,11,OVC050, ,10.00, , , ,52, ,11.1, ,49, ,9.7, ,47, ,8.3, , 83, , 5, ,310, , , ,29.91, , , , , ,30.02, ,AA, , , ,30.03, 
24229,20130401,0353,11,OVC055, ,10.00, , , ,51, ,10.6, ,49, ,9.4, ,47, ,8.3, , 86, , 5, ,310, , , ,29.92, , , , , ,30.03, ,AA, , , ,30.04, 
24229,20130401,0453,11,FEW020 OVC055, ,10.00, , , ,51, ,10.6, ,49, ,9.4, ,47, ,8.3, , 86, , 3, ,300, , , ,29.93, , , , , ,30.04, ,AA, , , ,30.05, 
24229,20130401,0553,11,SCT029 OVC055, ,10.00, , , ,51, ,10.6, ,49, ,9.4, ,47, ,8.3, , 86, , 3, ,310, , , ,29.94, , , , , ,30.06, ,AA, , , ,30.06, 
24229,20130401,0611,11,BKN029 OVC055, ,10.00, , , ,52, ,11.0, ,49, ,9.4, ,46, ,8.0, , 80, , 3, ,300, , , ,29.95, , , , , ,M, ,SP, , , ,30.07, 
24229,20130401,0640,11,SCT029 BKN060, ,10.00, , , ,52, ,11.0, ,49, ,9.4, ,46, ,8.0, , 80, , 3, ,290, , , ,29.96, , , , , ,M, ,SP, , , ,30.08, 
24229,20130401,0653,11,SCT029 BKN060, ,10.00, , , ,51, ,10.6, ,49, ,9.4, ,47, ,8.3, , 86, , 3, ,290, , , ,29.96, , , , , ,30.07, ,AA, , , ,30.08, 
24229,20130401,0703,11,BKN029 BKN060, ,10.00, , , ,52, ,11.0, ,49, ,9.4, ,46, ,8.0, , 80, , 3, ,270, , , ,29.96, , , , , ,M, ,SP, , , ,30.08, 
24229,20130401,0753,11,OVC025, , 9.00, , , ,52, ,11.1, ,49, ,9.7, ,47, ,8.3, , 83, , 3, ,270, , , ,29.97, , , , , ,30.09, ,AA, , , ,30.09, 
24229,20130401,0835,11,SCT024 SCT250, ,10.00, , , ,54, ,12.0, ,50, ,9.9, ,46, ,8.0, , 75, , 0, ,000, , , ,29.98, , , , , ,M, ,SP, , , ,30.10, 
24229,20130401,0853,11,FEW024 SCT250, ,10.00, , , ,55, ,12.8, ,51, ,10.5, ,47, ,8.3, , 75, , 0, ,000, , , ,29.98, , , , , ,30.10, ,AA, , , ,30.10, 
